Tests,Points,OutOf,Notes
stresstest,0,4,The test crashed.
realloc_smaller_block_splinter,0,3,test_fall2017.c:54: `padded` bits were not properly set. Expected: [1] Actual: [0]
realloc_smaller_block_free_block,3,3,
realloc_random_addr_within_heap_range,3,3,
realloc_size_zero_free,3,3,
realloc_random_addr_out_of_heap_range,3,3,
realloc_no_memory,0,3,The test crashed.
realloc_larger_block,3,3,
realloc_larger_free_current_block,3,3,
realloc_free_block,3,3,
realloc_diff_hdr_ftr,3,3,
medium_malloc_diff_types,4,4,
malloc_zero_bytes,3,3,
malloc_sbrk_coalesce,0,3,test_fall2017.c:44: List [1] contains an unexpected block!
malloc_over_four_pages,4,4,
malloc_one_page_free_malloc_smaller_blocks,0,3,The test crashed.
malloc_four_pages_across_multiple_mallocs_then_frees_all,0,4,test_fall2017.c:274: List [1] contains an unexpected block!
malloc_exactly_four_pages,0,3,test_fall2017.c:349: x is null.
hard_malloc_diff_types,0,4,test_fall2017.c:44: List [1] contains an unexpected block!
free_random_addr_within_heap_range,3,3,
free_random_addr_out_of_heap_range,3,3,
free_no_coalesce_check_ptrs,0,3,test_fall2017.c:81: `prev` pointer was not properly set. Expected: [0x2454f58] Actual: [(nil)]
free_no_coalesce,0,3,The test crashed.
free_double_free,3,3,
free_diff_hdr_ftr,3,3,
free_coalesce_higher_addr_twice,0,3,The test crashed.
free_coalesce_higher_addr_check_ptrs,0,3,test_fall2017.c:81: `prev` pointer was not properly set. Expected: [0x1c83f98] Actual: [(nil)]
free_coalesce_higher_addr,3,3,
free_check_hdr_ftr,2,2,
five_additional_unit_tests,1,1,
easy_malloc_an_pointer,2,2,
easy_malloc_an_double,2,2,
easy_malloc_an_int,2,2,
easy_malloc_an_char,2,2,
Total,61,100,
